			Symbol				Name				Sector				industry	
{	Symbol	":"""	FLXS	"""xqxq"	Name	":"""	"Flexsteel Industries, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	GAI	"""xqxq"	Name	":"""	Global-Tech Advanced Innovations Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	HELE	"""xqxq"	Name	":"""	Helen of Troy Limited	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	HOFT	"""xqxq"	Name	":"""	Hooker Furniture Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	TILE	"""xqxq"	Name	":"""	"Interface, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	NTK	"""xqxq"	Name	":"""	Nortek Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	SCSS	"""xqxq"	Name	":"""	Select Comfort Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	STLY	"""xqxq"	Name	":"""	"Stanley Furniture Company, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	DXYN	"""xqxq"	Name	":"""	"The Dixie Group, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	CRC	"""xqxq"	Name	":"""	"Chromcraft Revington, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	ETH	"""xqxq"	Name	":"""	Ethan Allen Interiors Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	FBN	"""xqxq"	Name	":"""	"Furniture Brands International, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	LZB	"""xqxq"	Name	":"""	La-Z-Boy Incorporated	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	LEG	"""xqxq"	Name	":"""	"Leggett & Platt, Incorporated"	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	MHK	"""xqxq"	Name	":"""	"Mohawk Industries, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	NTZ	"""xqxq"	Name	":"""	"Natuzzi, S.p.A."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	ZZ	"""xqxq"	Name	":"""	Sealy Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	ZZC	"""xqxq"	Name	":"""	Sealy Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	TPX	"""xqxq"	Name	":"""	Tempur-pedic International Inc	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	WSO	"""xqxq"	Name	":"""	"Watsco, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Machinery/Components	}xqxq
{	Symbol	":"""	WSO/B	"""xqxq"	Name	":"""	"Watsco, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Machinery/Components	}xqxq
{	Symbol	":"""	BEAV	"""xqxq"	Name	":"""	"B/E Aerospace, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	HDSN	"""xqxq"	Name	":"""	"Hudson Technologies, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	LAWS	"""xqxq"	Name	":"""	"Lawson Products, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	POOL	"""xqxq"	Name	":"""	Pool Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	SCHN	"""xqxq"	Name	":"""	"Schnitzer Steel Industries, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	VIRC	"""xqxq"	Name	":"""	Virco Manufacturing Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	WLFC	"""xqxq"	Name	":"""	Willis Lease Finance Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	AIT	"""xqxq"	Name	":"""	"Applied Industrial Technologies, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	JCI	"""xqxq"	Name	":"""	"Johnson Controls, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	KAMN	"""xqxq"	Name	":"""	Kaman Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	SMS	"""xqxq"	Name	":"""	Sims Metal Management Limited	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Industrial Specialties	}xqxq
{	Symbol	":"""	SSRX	"""xqxq"	Name	":"""	3SBio Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ACAD	"""xqxq"	Name	":"""	ACADIA Pharmaceuticals Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ACST	"""xqxq"	Name	":"""	"Acasti Pharma, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ACRX	"""xqxq"	Name	":"""	"AcelRx Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ACHN	"""xqxq"	Name	":"""	"Achillion Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ACUR	"""xqxq"	Name	":"""	"Acura Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AEGR	"""xqxq"	Name	":"""	"Aegerion Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AEZS	"""xqxq"	Name	":"""	AEterna Zentaris Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AFFY	"""xqxq"	Name	":"""	"Affymax, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AKRX	"""xqxq"	Name	":"""	"Akorn, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ALXN	"""xqxq"	Name	":"""	"Alexion Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ALXA	"""xqxq"	Name	":"""	"Alexza Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ALIM	"""xqxq"	Name	":"""	"Alimera Sciences, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ALKS	"""xqxq"	Name	":"""	Alkermes plc	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ALNY	"""xqxq"	Name	":"""	"Alnylam Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AMAG	"""xqxq"	Name	":"""	"AMAG Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AMRN	"""xqxq"	Name	":"""	Amarin Corporation PLC	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	FOLD	"""xqxq"	Name	":"""	"Amicus Therapeutics, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AMPE	"""xqxq"	Name	":"""	"Ampio Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ANAC	"""xqxq"	Name	":"""	"Anacor Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ANTH	"""xqxq"	Name	":"""	"Anthera Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	APRI	"""xqxq"	Name	":"""	"Apricus Biosciences, Inc"	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ARNA	"""xqxq"	Name	":"""	"Arena Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ARQL	"""xqxq"	Name	":"""	"ArQule, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ARRY	"""xqxq"	Name	":"""	Array BioPharma Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ASTX	"""xqxq"	Name	":"""	"Astex Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ATHX	"""xqxq"	Name	":"""	"Athersys, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AUXL	"""xqxq"	Name	":"""	"Auxilium Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AVNR	"""xqxq"	Name	":"""	"Avanir Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	AVEO	"""xqxq"	Name	":"""	"AVEO Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	BIOD	"""xqxq"	Name	":"""	Biodel Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	BDSI	"""xqxq"	Name	":"""	"BioDelivery Sciences International, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	BLRX	"""xqxq"	Name	":"""	BioLineRx Ltd.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	BMRN	"""xqxq"	Name	":"""	BioMarin Pharmaceutical Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	BSTC	"""xqxq"	Name	":"""	BioSpecifics Technologies Corp	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	BSPM	"""xqxq"	Name	":"""	"Biostar Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CADX	"""xqxq"	Name	":"""	"Cadence Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CRME	"""xqxq"	Name	":"""	Cardiome Pharma Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CPRX	"""xqxq"	Name	":"""	"Catalyst Pharmaceutical Partners, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CELG	"""xqxq"	Name	":"""	Celgene Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CELGZ	"""xqxq"	Name	":"""	Celgene Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CTIC	"""xqxq"	Name	":"""	"Cell Therapeutics, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CLSN	"""xqxq"	Name	":"""	Celsion Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CEMP	"""xqxq"	Name	":"""	"Cempra, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CEMI	"""xqxq"	Name	":"""	"Chembio Diagnostics, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CCXI	"""xqxq"	Name	":"""	"ChemoCentryx, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CLVS	"""xqxq"	Name	":"""	"Clovis Oncology, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CBRX	"""xqxq"	Name	":"""	"Columbia Laboratories, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CORT	"""xqxq"	Name	":"""	Corcept Therapeutics Incorporated	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CRTX	"""xqxq"	Name	":"""	Cornerstone Therapeutics Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CNDO	"""xqxq"	Name	":"""	"Coronado Biosciences, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CBST	"""xqxq"	Name	":"""	"Cubist Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CPIX	"""xqxq"	Name	":"""	Cumberland Pharmaceuticals Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CYCC	"""xqxq"	Name	":"""	"Cyclacel Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CYCCP	"""xqxq"	Name	":"""	"Cyclacel Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	CYTK	"""xqxq"	Name	":"""	"Cytokinetics, Incorporated"	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	DARA	"""xqxq"	Name	":"""	"DARA Biosciences, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	DNDN	"""xqxq"	Name	":"""	Dendreon Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	DEPO	"""xqxq"	Name	":"""	"Depomed, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	DRTX	"""xqxq"	Name	":"""	"Durata Therapeutics, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	DRRX	"""xqxq"	Name	":"""	Durect Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	DVAX	"""xqxq"	Name	":"""	Dynavax Technologies Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ENDP	"""xqxq"	Name	":"""	Endo Health Solutions Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ECYT	"""xqxq"	Name	":"""	"Endocyte, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	FLML	"""xqxq"	Name	":"""	Flamel Technologies S.A.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	FURX	"""xqxq"	Name	":"""	"Furiex Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GALT	"""xqxq"	Name	":"""	Galectin Therapeutics Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GALTU	"""xqxq"	Name	":"""	Galectin Therapeutics Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GALTW	"""xqxq"	Name	":"""	Galectin Therapeutics Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GALE	"""xqxq"	Name	":"""	"Galena Biopharma, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GENT	"""xqxq"	Name	":"""	Gentium SpA	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GNVC	"""xqxq"	Name	":"""	"GenVec, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GERN	"""xqxq"	Name	":"""	Geron Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GRFS	"""xqxq"	Name	":"""	"Grifols, S.A."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	GTXI	"""xqxq"	Name	":"""	"GTx, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	HITK	"""xqxq"	Name	":"""	"Hi-Tech Pharmacal Co., Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	HZNP	"""xqxq"	Name	":"""	"Horizon Pharma, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	HPTX	"""xqxq"	Name	":"""	"Hyperion Therapeutics, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	IDIX	"""xqxq"	Name	":"""	"Idenix Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	IMGN	"""xqxq"	Name	":"""	"ImmunoGen, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	IPXL	"""xqxq"	Name	":"""	"Impax Laboratories, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	IMMY	"""xqxq"	Name	":"""	"Imprimis Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	INFI	"""xqxq"	Name	":"""	"Infinity Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	INSM	"""xqxq"	Name	":"""	"Insmed, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	IPCI	"""xqxq"	Name	":"""	Intellipharmaceutics International Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ICPT	"""xqxq"	Name	":"""	"Intercept Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ITMN	"""xqxq"	Name	":"""	"InterMune, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	IRWD	"""xqxq"	Name	":"""	"Ironwood Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	ISIS	"""xqxq"	Name	":"""	"Isis Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	JAZZ	"""xqxq"	Name	":"""	Jazz Pharmaceuticals plc	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	KBIO	"""xqxq"	Name	":"""	"KaloBios Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	KERX	"""xqxq"	Name	":"""	"Keryx Biopharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	KYTH	"""xqxq"	Name	":"""	"Kythera Biopharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	LXRX	"""xqxq"	Name	":"""	"Lexicon Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	LFVN	"""xqxq"	Name	":"""	Lifevantage Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	LGND	"""xqxq"	Name	":"""	Ligand Pharmaceuticals Incorporated	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MNKD	"""xqxq"	Name	":"""	MannKind Corporation	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MNOV	"""xqxq"	Name	":"""	"MediciNova, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MDVN	"""xqxq"	Name	":"""	"Medivation, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MEIP	"""xqxq"	Name	":"""	"MEI Pharma, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MACK	"""xqxq"	Name	":"""	"Merrimack Pharmaceuticals, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MSLI	"""xqxq"	Name	":"""	Merus Labs International Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	MYL	"""xqxq"	Name	":"""	Mylan Inc.	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
{	Symbol	":"""	NATR	"""xqxq"	Name	":"""	"Nature&#39;s Sunshine Products, Inc."	"""xqxq"	Sector	":"""	Consumer Durables	"""xqxq"	industry	":"""	Major Pharmaceuticals	}xqxq
