			Symbol				Name				Sector				industry	
{	Symbol	":"""	PESI	"""xqxq"	Name	":"""	"Perma-Fix Environmental Services, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Environmental Services	}xqxq
{	Symbol	":"""	SMED	"""xqxq"	Name	":"""	Sharps Compliance Corp	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Environmental Services	}xqxq
{	Symbol	":"""	SRCL	"""xqxq"	Name	":"""	"Stericycle, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Environmental Services	}xqxq
{	Symbol	":"""	CLH	"""xqxq"	Name	":"""	"Clean Harbors, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Environmental Services	}xqxq
{	Symbol	":"""	ES	"""xqxq"	Name	":"""	EnergySolutions Inc	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Environmental Services	}xqxq
{	Symbol	":"""	TRR	"""xqxq"	Name	":"""	"TRC Companies, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Environmental Services	}xqxq
{	Symbol	":"""	AMWD	"""xqxq"	Name	":"""	American Woodmark Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	PATK	"""xqxq"	Name	":"""	"Patrick Industries, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	UFPI	"""xqxq"	Name	":"""	"Universal Forest Products, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	DEL	"""xqxq"	Name	":"""	Deltic Timber Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	KOP	"""xqxq"	Name	":"""	Koppers Holdings Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	LPX	"""xqxq"	Name	":"""	Louisiana-Pacific Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	MAS	"""xqxq"	Name	":"""	Masco Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	TREX	"""xqxq"	Name	":"""	"Trex Company, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Forest Products	}xqxq
{	Symbol	":"""	TPC	"""xqxq"	Name	":"""	Tutor Perini Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	General Bldg Contractors - Nonresidential Bldgs	}xqxq
{	Symbol	":"""	FUL	"""xqxq"	Name	":"""	H. B. Fuller Company	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Home Furnishings	}xqxq
{	Symbol	":"""	CVCO	"""xqxq"	Name	":"""	"Cavco Industries, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	CHLN	"""xqxq"	Name	":"""	"China Housing & Land Development, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	PGRX	"""xqxq"	Name	":"""	Prospect Global Resources Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	BRP	"""xqxq"	Name	":"""	Brookfield Residential Properties Inc.	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	HXM	"""xqxq"	Name	":"""	Desarrolladora Homex	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	FBHS	"""xqxq"	Name	":"""	"Fortune Brands Home & Security, Inc."	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	GFA	"""xqxq"	Name	":"""	Gafisa SA	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
{	Symbol	":"""	LEN	"""xqxq"	Name	":"""	Lennar Corporation	"""xqxq"	Sector	":"""	Basic Industries	"""xqxq"	industry	":"""	Homebuilding	}xqxq
